keahlian,keahlian_normalisasi,minat,pendidikan,jurusan,sertifikasi,ipk,label_karir,kategori_keahlian,pemetaan_tugas,keahlian_dibutuhkan,keahlian_kurang,kursus_rekomendasi,jalur_belajar,label_karir_sederhana,profil_gabungan,flag_ketidaksesuaian,data_augmentasi,encode_label_karir,encode_label_karir_sederhana,encode_pendidikan,encode_kategori_keahlian
"akuntansi, pembelajaran mesin, python","akuntansi, pembelajaran mesin, python","teknologi, ilmu data",Doktor,teknik,AWS Certified,2.72,Profesor,teknik,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik, alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan, konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi",teknik biologi perangkat medis pemecahan masalah inovasi,teknik biologi perangkat medis pemecahan masalah inovasi,dasar teknik biologi perangkat medis pemecahan masalah inovasi,pelajari teknik biologi perangkat medis pemecahan masalah inovasi,Pendidikan,akuntansi pembelajaran mesin python teknologi data sains teknik,valid,Tidak,28,6,0,13
sql,sql,pengembangan karir umum,SMA/Sederajat,bisnis,Tidak Ada Sertifikasi,2.56,Profesor,bisnis,"alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pendidikan,sql umum karir pengembangan bisnis,valid,Tidak,28,6,2,1
"analisis data, akuntansi, pemasaran","analisis data, akuntansi, pemasaran","teknologi, ilmu data",Magister,teknik,Tally ERP,3.24,Profesor,teknik,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik, konten, tugas sosial, penjualan & pengaruh, konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi",teknik biologi perangkat medis pemecahan masalah inovasi,teknik biologi perangkat medis pemecahan masalah inovasi,dasar teknik biologi perangkat medis pemecahan masalah inovasi,pelajari teknik biologi perangkat medis pemecahan masalah inovasi,Pendidikan,analisis data akuntansi pemasaran teknologi data sains teknik,valid,Tidak,28,6,1,13
"pemasaran, analisis data, akuntansi","pemasaran, analisis data, akuntansi","teknologi, ilmu data",Magister,sains,Tidak Ada Sertifikasi,2.96,Konselor Sekolah,sains,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik, konten, tugas sosial, penjualan & pengaruh, konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pendidikan,pemasaran analisis data akuntansi teknologi data sains sains,valid,Tidak,20,6,1,11
"pembelajaran mesin, analisis keuangan, ms office","pembelajaran mesin, analisis keuangan, ms office","teknologi, ilmu data",SMA/Sederajat,keuangan,AWS Certified,2.4,Konselor Sekolah,keuangan,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi, konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik, alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan","akuntansi, pelaporan keuangan, pembukuan, perhatian terhadap detail, kemampuan analitis","akuntansi, kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan","dasar akuntansi, dasar kemampuan analitis, dasar perhatian terhadap detail, dasar pembukuan, dasar pelaporan keuangan","pelajari akuntansi, kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan",Pendidikan,pembelajaran mesin analisis keuangan ms office teknologi data sains keuangan,valid,Tidak,20,6,2,4
pemasaran,pemasaran,marketing,SMA/Sederajat,sains,Google Data Analytics,3.56,Konselor Sekolah,sains,"konten, tugas sosial, penjualan & pengaruh",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pendidikan,pemasaran sains,valid,Tidak,20,6,2,11
"analisis data, pembelajaran mesin, sql","analisis data, pembelajaran mesin, sql","teknologi, ilmu data",Doktor,sains,Sertifikasi Pemasaran Digital,3.12,Konselor Sekolah,sains,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik, alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pendidikan,analisis data pembelajaran mesin sql teknologi data sains sains,valid,Tidak,20,6,0,11
"sql, analisis keuangan","sql, analisis keuangan","bisnis, keuangan",Magister,bisnis,Google Data Analytics,2.4,Profesor,bisnis,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi, alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pendidikan,sql analisis keuangan bisnis keuangan,valid,Tidak,28,6,1,1
pemasaran,pemasaran,marketing,Magister,seni,Tally ERP,2.96,Profesor,seni,"konten, tugas sosial, penjualan & pengaruh",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pendidikan,pemasaran seni,valid,Tidak,28,6,1,12
"akuntansi, pembelajaran mesin, konseling","akuntansi, pembelajaran mesin, konseling","teknologi, ilmu data",SMA/Sederajat,keuangan,Google Data Analytics,2.48,Konselor Sekolah,keuangan,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik, alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan, konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi","akuntansi, pelaporan keuangan, pembukuan, perhatian terhadap detail, kemampuan analitis","kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan","dasar kemampuan analitis, dasar perhatian terhadap detail, dasar pembukuan, dasar pelaporan keuangan","pelajari kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan",Pendidikan,akuntansi pembelajaran mesin konseling teknologi data sains keuangan,valid,Tidak,20,6,2,4
analisis keuangan,analisis keuangan,"bisnis, keuangan",SMA/Sederajat,bisnis,Penulisan Kreatif,2.48,Konselor Sekolah,bisnis,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pendidikan,analisis keuangan bisnis keuangan,valid,Tidak,20,6,2,1
"akuntansi, python","akuntansi, python","teknologi, ilmu data",SMA/Sederajat,bisnis,Tidak Ada Sertifikasi,3.44,Profesor,bisnis,"alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan, konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pendidikan,akuntansi python teknologi data sains bisnis,valid,Tidak,28,6,2,1
"komunikasi, analisis data, sql","komunikasi, analisis data, sql","teknologi, ilmu data",Magister,psikologi,Tally ERP,2.48,Konselor Sekolah,psikologi,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik, alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pendidikan,komunikasi analisis data sql teknologi data sains psikologi,valid,Tidak,20,6,1,9
"analisis data, akuntansi, sql","analisis data, akuntansi, sql","teknologi, ilmu data",SMA/Sederajat,sains,Penulisan Kreatif,3.76,Profesor,sains,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik, alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan, konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pendidikan,analisis data akuntansi sql teknologi data sains sains,valid,Tidak,28,6,2,11
"komunikasi, pembelajaran mesin, akuntansi","komunikasi, pembelajaran mesin, akuntansi","teknologi, ilmu data",Sarjana,psikologi,Google Data Analytics,3.6,Profesor,psikologi,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik, alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan, konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pendidikan,komunikasi pembelajaran mesin akuntansi teknologi data sains psikologi,valid,Tidak,28,6,3,9
"pemasaran, python, sql","pemasaran, python, sql","teknologi, ilmu data",Magister,keuangan,AWS Certified,2.52,Profesor,keuangan,"konten, tugas sosial, penjualan & pengaruh, alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan","akuntansi, pelaporan keuangan, pembukuan, perhatian terhadap detail, kemampuan analitis","akuntansi, kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan","dasar akuntansi, dasar kemampuan analitis, dasar perhatian terhadap detail, dasar pembukuan, dasar pelaporan keuangan","pelajari akuntansi, kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan",Pendidikan,pemasaran python sql teknologi data sains keuangan,valid,Tidak,28,6,1,4
akuntansi,akuntansi,"bisnis, keuangan",Sarjana,seni,AWS Certified,2.84,Profesor,seni,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pendidikan,akuntansi bisnis keuangan seni,valid,Tidak,28,6,3,12
"pembelajaran mesin, ms office, akuntansi","pembelajaran mesin, ms office, akuntansi","teknologi, ilmu data",SMA/Sederajat,seni,AWS Certified,3.28,Konselor Sekolah,seni,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik, alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan, konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pendidikan,pembelajaran mesin ms office akuntansi teknologi data sains seni,valid,Tidak,20,6,2,12
ms office,ms office,pengembangan karir umum,Sarjana,ilmu komputer,Tally ERP,3.8,Konselor Sekolah,ilmu komputer,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pendidikan,ms office umum karir pengembangan komputer sains,valid,Tidak,20,6,3,2
"pemasaran, akuntansi, ms office","pemasaran, akuntansi, ms office",marketing,Doktor,keuangan,AWS Certified,2.72,Profesor,keuangan,"konten, tugas sosial, penjualan & pengaruh, konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi","akuntansi, pelaporan keuangan, pembukuan, perhatian terhadap detail, kemampuan analitis","kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan","dasar kemampuan analitis, dasar perhatian terhadap detail, dasar pembukuan, dasar pelaporan keuangan","pelajari kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan",Pendidikan,pemasaran akuntansi ms office keuangan,valid,Tidak,28,6,0,4
python,python,"teknologi, ilmu data",Magister,teknik,Tally ERP,2.64,Konselor Sekolah,teknik,"alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",teknik biologi perangkat medis pemecahan masalah inovasi,teknik biologi perangkat medis pemecahan masalah inovasi,dasar teknik biologi perangkat medis pemecahan masalah inovasi,pelajari teknik biologi perangkat medis pemecahan masalah inovasi,Pendidikan,python teknologi data sains teknik,valid,Tidak,20,6,1,13
"analisis keuangan, pemasaran","analisis keuangan, pemasaran",marketing,Doktor,sains,Penulisan Kreatif,3.76,Profesor,sains,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi, konten, tugas sosial, penjualan & pengaruh",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pendidikan,analisis keuangan pemasaran sains,valid,Tidak,28,6,0,11
"python, komunikasi, pemasaran","python, komunikasi, pemasaran","teknologi, ilmu data",Doktor,teknik,CFA Level 1,3.28,Konselor Sekolah,teknik,"konten, tugas sosial, penjualan & pengaruh, alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",teknik biologi perangkat medis pemecahan masalah inovasi,teknik biologi perangkat medis pemecahan masalah inovasi,dasar teknik biologi perangkat medis pemecahan masalah inovasi,pelajari teknik biologi perangkat medis pemecahan masalah inovasi,Pendidikan,python komunikasi pemasaran teknologi data sains teknik,valid,Tidak,20,6,0,13
konseling,konseling,pengembangan karir umum,Magister,seni,CFA Level 1,2.72,Konselor Sekolah,seni,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pendidikan,konseling umum karir pengembangan seni,valid,Tidak,20,6,1,12
python,python,"teknologi, ilmu data",Magister,psikologi,AWS Certified,2.64,Profesor,psikologi,"alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pendidikan,python teknologi data sains psikologi,valid,Tidak,28,6,1,9
"analisis data, akuntansi","analisis data, akuntansi","teknologi, ilmu data",SMA/Sederajat,bisnis,CFA Level 1,2.92,Profesor,bisnis,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik, konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pendidikan,analisis data akuntansi teknologi data sains bisnis,valid,Tidak,28,6,2,1
"python, konseling","python, konseling","teknologi, ilmu data",Sarjana,perdagangan,CFA Level 1,2.84,Profesor,perdagangan,"alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pendidikan,python konseling teknologi data sains perdagangan,valid,Tidak,28,6,3,8
pembelajaran mesin,pembelajaran mesin,"teknologi, ilmu data",SMA/Sederajat,psikologi,Tidak Ada Sertifikasi,2.56,Konselor Sekolah,psikologi,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik, alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pendidikan,pembelajaran mesin teknologi data sains psikologi,valid,Tidak,20,6,2,9
"komunikasi, pemasaran, analisis keuangan","komunikasi, pemasaran, analisis keuangan",marketing,SMA/Sederajat,bisnis,Penulisan Kreatif,3.08,Profesor,bisnis,"konten, tugas sosial, penjualan & pengaruh, konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pendidikan,komunikasi pemasaran analisis keuangan bisnis,valid,Tidak,28,6,2,1
"konseling, analisis keuangan","konseling, analisis keuangan","bisnis, keuangan",Sarjana,seni,Tally ERP,3.68,Profesor,seni,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pendidikan,konseling analisis keuangan bisnis keuangan seni,valid,Tidak,28,6,3,12
"akuntansi, sql","akuntansi, sql","bisnis, keuangan",Magister,sains,Penulisan Kreatif,3.32,Konselor Sekolah,sains,"alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan, konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pendidikan,akuntansi sql bisnis keuangan sains,valid,Tidak,20,6,1,11
"sql, akuntansi","sql, akuntansi","bisnis, keuangan",Sarjana,bisnis,Sertifikasi Pemasaran Digital,3.08,Konselor Sekolah,bisnis,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi, alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pendidikan,sql akuntansi bisnis keuangan,valid,Tidak,20,6,3,1
sql,sql,pengembangan karir umum,Doktor,sains,CFA Level 1,3.32,Konselor Sekolah,sains,"alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pendidikan,sql umum karir pengembangan sains,valid,Tidak,20,6,0,11
